Date,Rest/Recumbent,Start Time,Stop Time,Duration,Location,Conspecifics,Elephant Access
1/1/2021,Rest,0:05:28,0:10:10,0:04:42,1,K,
1/1/2021,Rest,0:12:18,0:21:07,0:08:49,4,,
1/1/2021,Rest,0:29:48,0:42:12,0:12:24,4,,
1/1/2021,Rest,0:48:32,1:17:55,0:29:23,4,,
1/1/2021,Rest,1:21:09,2:04:24,0:43:15,4,,
1/1/2021,Rest,2:28:19,2:42:28,0:14:09,4,,
1/1/2021,Rest,2:44:41,2:50:16,0:05:35,1,K,
1/1/2021,Rest,2:52:32,3:02:22,0:09:50,4,,
1/1/2021,Rest,3:06:53,4:10:46,1:03:53,4,,
1/1/2021,Rest,4:18:31,4:29:44,0:11:13,4,,
1/1/2021,Rest,4:31:11,4:38:21,0:07:10,1,K,
1/1/2021,Rest,4:43:02,5:16:14,0:33:12,3,,
1/1/2021,Rest,5:17:27,5:44:56,0:27:29,1,,
1/4/2021,Rest,20:00:00,20:03:47,0:03:47,7,,
1/4/2021,Rest,20:45:55,20:52:57,0:07:02,7,,
1/4/2021,Rest,21:07:20,21:33:03,0:25:43,7,R,woken up and pushed by bozie
1/4/2021,Rest,21:52:53,22:03:09,0:10:16,7,R,
1/4/2021,Rest,22:29:45,22:43:38,0:13:53,7,R,
1/4/2021,Rest,22:52:07,23:36:58,0:44:51,7,R,
1/4/2021,Rest,23:50:19,23:54:48,0:04:29,7,R,
1/4/2021,Rest,23:58:07,0:03:37,0:05:30,7,R,
1/4/2021,Rest,0:16:06,0:24:45,0:08:39,7,R,
1/4/2021,Rest,0:31:24,0:46:28,0:15:04,7,R,
1/4/2021,Rest,0:57:53,3:23:36,2:25:43,7,R,
1/4/2021,Rest,3:29:19,3:47:29,0:18:10,7,R,
1/4/2021,Rest,3:51:11,4:57:31,1:06:20,7,,
1/4/2021,Rest,5:02:57,5:27:27,0:24:30,E,R,
1/5/2021,Rest,20:00:00,20:18:37,0:18:37,1,,
1/5/2021,Rest,21:07:35,22:53:03,1:45:28,1,,
1/5/2021,Rest,23:42:16,23:51:45,0:09:29,1,,
1/5/2021,Rest,0:21:10,1:05:57,0:44:47,1,,
1/5/2021,Recumbent,1:05:57,2:34:13,1:28:16,1,,
1/5/2021,Rest,2:37:58,2:58:38,0:20:40,1,,
1/5/2021,Recumbent,2:58:38,4:52:29,1:53:51,1,,
1/5/2021,Rest,4:52:29,5:06:47,0:14:18,1,,
1/6/2021,Rest,21:47:48,22:01:16,0:13:28,7,R,
1/6/2021,Rest,22:43:05,22:53:20,0:10:15,E,BR,
1/6/2021,Rest,22:58:18,0:03:24,1:05:06,7,R,
1/6/2021,Rest,0:55:16,0:58:29,0:03:13,7,R,
1/6/2021,Rest,1:13:36,3:06:35,1:52:59,7,R,
1/6/2021,Rest,3:15:27,3:49:46,0:34:19,7,R,
1/6/2021,Rest,3:51:44,5:31:13,1:39:29,E,R,
